Занимает	l|s|s|s|s|s|r_т|r_ь
действующим	s|s|s|s|s|s|r_о|r_в|r_а|r_т|r_ь
православным	s|s|s|s|s|s|s|s|s|s|s|r_й
деревянный	s|s|s|s|s|s|s|s|s|s
храмом	s|s|s|s|d|d
,	s
построенным	s|s|s|s|s|s|r_и|r_т|r_ь|d|d
на	s|s
вечной	s|s|s|s|r_ы|s
мерзлоте	s|s|s|s|s|s|s|r_а
.	s

Андрюс	s|s|s|s|s|s
хотел	s|s|s|s|r_ть
попасть	s|s|s|s|r_да|s|s
в	s
морское	s|s|s|s|s|s|r_й
училище	s|s|s|s|s|s|s
в	s
Ленинграде	s|s|s|s|s|s|s|s|s|d
,	s
но	s|s
был	s|s|r_ть
отклонен	s|s|s|s|s|s|r_ит|r_ь
из	s|s
-	s
за	s|s
близорукости	s|s|s|s|s|s|s|s|s|s|s|r_ь
.	s

С	l
18	s|s
апреля	s|s|s|s|s|r_ь
по	s|s
15	s|s
мая	s|s|r_й
1939	s|s|s|s
года	s|s|s|d
совершал	s|s|s|s|s|s|s|r_ть
плавание	s|s|s|s|s|s|s|s
к	s
побережью	s|s|s|s|s|s|s|s|r_е
Испании	s|s|s|s|s|s|r_я
и	s
Марокко	s|s|s|s|s|s|s
.	s

Основными	l|s|s|s|s|s|r_о|r_й|d
переносчиками	s|s|s|s|s|s|s|s|s|s|d|d|d
Babesia	s|s|s|s|s|s|s
divergens	s|s|s|s|s|s|s|s|s
являются	s|s|s|s|r_т|r_ь|s|s
клещи	s|s|s|s|d
видов	s|s|s|d|d
Ixodes	s|s|s|s|s|s
ricinus	s|s|s|s|s|s|s
и	s
Ixodes	s|s|s|s|s|s
persulcatus	s|s|s|s|s|s|s|s|s|s|s
.	s

Она	l|s|s
пред	s|s|s|s
тобою	s|r_ы|d|d|d
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
...	s|s|s
``	s|s
Я	l
сделал	s|s|s|s|s|r_ть
много	s|s|s|s|s
тебе	s|r_ы|d|d
зла	s|s|r_о
,	s
--	s|s
сказал	s|s|s|s|s|r_ть
он	s|s
хану	s|s|s|d
,	s
--	s|s
но	s|s
теперь	s|s|s|s|s|s
пришел	s|s|s|r_й|r_т|r_и
принять	s|s|s|s|s|s|s
от	s|s
тебя	s|r_ы|d|d
смерть	s|s|s|s|s|s
или	s|s|s
жизнь	s|s|s|s|s
,	s
будучи	s|r_ы|r_т|r_ь|d|d
готов	s|s|s|s|s|r_ый
на	s|s
все	s|s|r_ё
,	s
что	s|s|s
Бог	l|s|s
возвестит	s|s|s|s|s|s|s|s|s|r_ь
тебе	s|r_ы|d|d
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
.	s

Жених	l|s|s|s|s
,	s
родители	s|s|s|s|s|s|s|r_ь
,	s
близкие	s|s|s|s|s|s|r_й
родственники	s|s|s|s|s|s|s|s|s|s|s|d
приезжали	s|s|s|s|s|s|s|r_т|r_ь
в	s
дом	s|s|s
невесты	s|s|s|s|s|s|r_а
.	s

Но	l|s
дивидендов	s|s|s|s|s|s|s|s|d|d
приобретения	s|s|s|s|s|s|s|s|s|s|s|r_е
не	s|s
принесли	s|s|s|s|s|s|r_т|s
:	s
лишь	s|s|s|s
15	s|s
-	s
е	r_й
место	s|s|s|s|s
в	s
сезоне	s|s|s|s|s|d
1993/94	s|s|s|s|s|s|s
.	s

Летом	l|s|s|s|d
1947	s|s|s|s
года	s|s|s|d
на	s|s
сравнительных	s|s|s|s|s|s|s|s|s|s|s|s|r_й
испытаниях	s|s|s|s|s|s|s|s|r_е|d
по	s|s
бездорожью	s|s|s|s|s|s|s|s|s|r_е
американских	s|s|s|s|s|s|s|s|s|s|s|r_й
трёхосных	s|s|r_е|s|s|s|s|s|r_й
автомобилей	s|s|s|s|s|s|s|s|s|r_ь|d
``	s|s
Студебеккер	s|s|s|s|s|s|s|s|s|s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
,	s
``	s|s
Интернешнл	s|s|s|s|s|s|s|s|s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
,	s
отечественных	s|s|s|s|s|s|s|s|s|s|s|s|r_й
ЗИС	s|s|s
-	s
151-1	s|s|s|s|s
и	s
ЗИС	s|s|s
-	s
151-2	s|s|s|s|s
,	s
ЗИС	s|s|s
-	s
151-1	s|s|s|s|s
на	s|s
автобусных	s|s|s|s|s|s|s|s|s|r_й
шинах	s|s|s|s|d
10,5	s|s|s|s
,	s
20	s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
показал	s|s|s|s|s|s|r_ть
лучшую	s|s|s|s|r_и|r_й
проходимость	s|s|s|s|s|s|s|s|s|s|s|s
и	s
более	s|s|s|s|s
высокую	s|s|s|s|s|r_и|r_й
среднюю	s|s|s|s|s|r_и|r_й
скорость	s|s|s|s|s|s|s|s
по	s|s
бездорожью	s|s|s|s|s|s|s|s|s|r_е
,	s
кроме	s|s|s|s|s
движения	s|s|s|s|s|s|s|r_е
по	s|s
болотистой	s|s|s|s|s|s|s|s|r_ы|s
луговине	s|s|s|s|s|s|s|r_а
.	s

Родился	l|s|s|s|r_ть|s|s
1	s
января	s|s|s|s|s|r_ь
1947	s|s|s|s
в	s
Ленинграде	s|s|s|s|s|s|s|s|s|d
,	s
РСФСР	s|s|s|s|s
.	s

Речной	l|s|s|s|s|s
бассейн	s|s|s|s|s|s|s
реки	s|s|s|r_а
--	s|s
(	s
Верхняя	l|s|s|s|s|r_и|r_й
)	s
Волга	s|s|s|s|s
до	s|s
Куйбышевского	l|s|s|s|s|s|s|s|s|s|r_и|r_й|d
водохранилища	s|s|s|s|s|s|s|s|s|s|s|s|r_е
(	s
без	s|s|s
бассейна	s|s|s|s|s|s|s|d
Оки	s|s|r_а
)	s
.	s

Буддийские	l|s|s|s|s|s|s|s|s|r_й
монастыри	s|s|s|s|s|s|s|s|r_ь
превратились	s|s|s|s|s|s|s|s|r_т|r_ь|s|r_я
в	s
крупных	s|s|s|s|s|s|r_й
земельных	s|s|s|s|s|s|s|s|r_й
собственников	s|s|s|s|s|s|s|s|s|s|s|d|d
;	s
богатые	s|s|s|s|s|s|r_й
монастыри	s|s|s|s|s|s|s|s|r_ь
давали	s|s|s|s|r_т|r_ь
деньги	s|s|s|s|s|s
в	s
рост	s|s|s|s
.	s

Исследования	l|s|s|s|s|s|s|s|s|s|s|r_е
учёных	s|s|r_е|s|s|r_й
позволили	s|s|s|s|s|s|s|r_т|r_ь
выявить	s|s|s|s|s|s|s
,	s
что	s|s|s
предки	s|s|s|s|i_о|d
аккадцев	s|s|s|s|s|d|s|r_ц
--	s|s
восточные	s|s|s|s|s|s|s|s|r_й
семиты	s|s|s|s|s|d
--	s|s
поклонялись	s|s|s|s|s|s|s|r_т|r_ь|s|r_я
различным	s|s|s|s|s|s|s|s|r_й
божествам	s|s|s|s|s|s|s|r_о|d
,	s
покровителям	s|s|s|s|s|s|s|s|s|s|r_ь|d
отдельных	s|s|s|s|s|s|s|s|r_й
общин	s|s|s|s|s|r_а
,	s
но	s|s
при	s|s|s
этом	s|s|s|d
семиты	s|s|s|s|s|d
издревле	s|s|s|s|s|s|s|s
избегали	s|s|s|s|s|s|r_т|r_ь
называть	s|s|s|s|s|s|s|s
богов	s|s|s|d|d
собственными	s|s|s|s|s|s|s|s|s|s|r_й|d
именами	s|s|r_я|d|d|d|d
.	s

Хаджи	s|s|s|s|s
Мухаммед	s|s|s|s|s|s|s|s
в	s
переписке	s|s|s|s|s|s|s|s|r_а
с	s
Москвой	s|s|s|s|s|r_а|d
называл	s|s|s|s|s|s|r_ть
себя	s|s|s|s
врагом	s|s|s|s|d|d
Сахиб	s|s|s|s|s
Гирея	s|s|s|s|r_й
,	s
в	s
начале	s|s|s|s|s|r_о
1538	s|s|s|s
он	s|s
в	s
письме	s|s|s|s|s|r_о
к	s
Ивану	s|s|s|s|d
IV	l|l
предлагал	s|s|s|s|s|s|s|s|r_ть
послать	s|s|s|s|s|s|s
в	s
Крым	s|s|s|s
20	s|s
-	s
тысячное	s|s|s|s|s|s|r_ы|r_й
войско	s|s|s|s|s|s
во	s|s
главе	s|s|s|s|r_а
с	s
Али	s|s|s
,	s
сыном	s|s|s|d|d
Хасана	s|s|s|s|s|d
,	s
что	s|s|s
было	s|s|r_т|r_ь
одобрено	s|s|s|s|s|r_и|r_т|r_ь
Москвой	s|s|s|s|s|r_а|d
.	s

Олибрий	s|s|s|s|s|s|s
правил	s|s|s|s|s|r_ть
совсем	s|s|s|s|s|s
недолго	s|s|s|s|s|s|s
и	s
скончался	s|s|s|s|s|s|r_ть|s|s
во	s|s
время	s|s|s|s|s
эпидемии	s|s|s|s|s|s|s|r_я
чумы	s|s|s|r_а
23	s|s
октября	s|s|s|s|s|s|r_ь
472	s|s|s
года	s|s|s|d
.	s

Раш	s|s|s
выиграл	s|s|s|s|s|s|r_ть
шестой	s|s|s|s|s|s
для	s|s|s
себя	s|s|s|s
Кубок	l|s|s|s|s
Лиги	l|s|s|r_а
в	s
1995	s|s|s|s
году	s|s|s|d
.	s

Представляет	l|s|s|s|s|s|s|s|s|s|r_т|r_ь
собой	s|r_е|s|r_я|d
повествование	s|s|s|s|s|s|s|s|s|s|s|s|s
о	s
строительстве	s|s|s|s|s|s|s|s|s|s|s|s|r_о
пирамиды	s|s|s|s|s|s|s|r_а
Хеопса	s|s|s|s|s|d
,	s
полное	s|s|s|s|r_ы|r_й
аллюзий	s|s|s|s|s|s|r_я
на	s|s
современность	s|s|s|s|s|s|s|s|s|s|s|s|s
и	s
на	s|s
коммунистический	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s
проект	s|s|s|s|s|s
,	s
который	s|s|s|s|s|s|s
осуществлялся	s|s|s|s|s|s|s|s|s|s|r_ть|s|s
в	s
Албании	s|s|s|s|s|s|r_я
.	s

Представители	l|s|s|s|s|s|s|s|s|s|s|s|r_ь
этого	s|s|s|r_т|d
направления	s|s|s|s|s|s|s|s|s|s|r_е
включали	s|s|s|s|s|s|r_т|r_ь
в	s
мессу	s|s|s|s|r_а
чисто	s|s|s|s|s
инструментальные	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|r_й
,	s
нередко	s|s|s|s|s|s|s
светского	s|s|s|s|s|s|r_и|r_й|d
происхождения	s|s|s|s|s|s|s|s|s|s|s|s|r_е
,	s
композиции	s|s|s|s|s|s|s|s|s|r_я
для	s|s|s
органа	s|s|s|s|s|d
или	s|s|s
струнных	s|s|s|s|s|s|s|r_й
ансамблей	s|s|s|s|s|s|s|r_ь|d
,	s
вводили	s|s|s|s|s|r_т|r_ь
сольное	s|s|s|s|s|r_ы|r_й
ариозно	s|s|s|s|s|s|s
-	s
речитативное	s|s|s|s|s|s|s|s|s|s|r_ы|r_й
пение	s|s|s|s|s
и	s
т.	s|s
д.	s|s
,	s
--	s|s
то	s|s
есть	r_б|r_ы|s|s
уходили	s|s|s|s|s|r_т|r_ь
всё	s|s|s
дальше	s|s|s|r_е|r_к|r_о
от	s|s
собственно	s|s|s|s|s|s|s|s|s|s
церковной	s|s|s|s|s|s|s|r_ы|s
музыки	s|s|s|s|s|r_а
.	s

Преобладающая	l|s|s|s|s|s|s|s|s|s|s|r_и|r_й
национальность	s|s|s|s|s|s|s|s|s|s|s|s|s|s
--	s|s
русские	s|s|s|s|s|s|r_й
(	s
99	s|s
%	s
)	s
.	s

Развитие	l|s|s|s|s|s|s|s
испанских	s|s|s|s|s|s|s|s|r_й
территорий	s|s|s|s|s|s|s|s|s|r_я
затрудняло	s|s|s|s|s|s|s|s|r_т|r_ь
то	s|s
,	s
что	s|s|s
Карл	s|s|s|s
I	l
и	s
Филипп	s|s|s|s|s|s
II	l|l
проводили	s|s|s|s|s|s|s|r_т|r_ь
много	s|s|s|s|s
времени	s|s|s|s|r_я|d|d
за	s|s
границей	s|s|s|s|s|s|r_а|d
;	s
большую	s|s|s|s|s|r_и|r_й
часть	s|s|s|s|s
XVI	l|l|l
столетия	s|s|s|s|s|s|s|r_е
Испания	s|s|s|s|s|s|s
управлялась	s|s|s|s|s|s|s|r_т|r_ь|s|r_я
из	s|s
Брюсселя	s|s|s|s|s|s|s|r_ь
и	s
Антверпена	s|s|s|s|s|s|s|s|s|d
,	s
и	s
только	s|s|s|s|s|s
во	s|s
время	s|s|s|s|s
Нидерландской	l|s|s|s|s|s|s|s|s|s|s|r_и|s
революции	s|s|s|s|s|s|s|s|r_я
,	s
когда	s|s|s|s|s
Филипп	s|s|s|s|s|s
вернулся	s|s|s|s|s|r_ть|s|s
в	s
Испанию	s|s|s|s|s|s|r_я
,	s
он	s|s
стал	s|s|s|r_ть
проводить	s|s|s|s|s|s|s|s|s
большую	s|s|s|s|s|r_и|r_й
часть	s|s|s|s|s
времени	s|s|s|s|r_я|d|d
в	s
уединении	s|s|s|s|s|s|s|s|r_е
в	s
монастырском	s|s|s|s|s|s|s|s|s|s|r_и|r_й
дворце	s|s|s|s|i_е|d
Эскориал	s|s|s|s|s|s|s|s
.	s

В	l
533	s|s|s
году	s|s|s|d
византийский	s|s|s|s|s|s|s|s|s|s|s|s
император	s|s|s|s|s|s|s|s|s
Юстиниан	s|s|s|s|s|s|s|s
Великий	l|s|s|s|s|s|s
,	s
использую	s|s|s|s|s|s|s|r_оват|r_ь
династические	s|s|s|s|s|s|s|s|s|s|s|s|r_й
споры	s|s|s|s|d
вандалов	s|s|s|s|s|s|d|d
как	s|s|s
предлог	s|s|s|s|s|s|s
,	s
посылает	s|s|s|s|s|s|r_т|r_ь
армию	s|s|s|s|r_я
под	s|s|s
командованием	s|s|s|s|s|s|s|s|s|s|s|s|d
Велизария	s|s|s|s|s|s|s|s|r_й
в	s
Африку	s|s|s|s|s|r_а
.	s

Над	l|s|s
маврусиями	s|s|s|s|s|s|s|r_й|d|d
,	s
жившими	s|s|r_т|r_ь|d|d|d
около	s|s|s|s|s
Триполи	s|s|s|s|s|s|s
,	s
правил	s|s|s|s|s|r_ть
Каваон	s|s|s|s|s|s
,	s
талантливый	s|s|s|s|s|s|s|s|s|s|s
военачальник	s|s|s|s|s|s|s|s|s|s|s|s
и	s
весьма	s|s|s|s|s|s
проницательный	s|s|s|s|s|s|s|s|s|s|s|s|s|s
вождь	s|s|s|s|s
.	s

В	l
официальной	s|s|s|s|s|s|s|s|s|r_ы|s
печати	s|s|s|s|s|r_ь
стихи	s|s|s|s|d
Кропивницкого	s|s|s|s|s|s|s|s|s|s|r_и|r_й|d
не	s|s
публиковались	s|s|s|s|s|s|s|s|s|r_т|r_ь|s|r_я
(	s
за	s|s
исключением	s|s|s|s|s|s|s|s|s|s|d
нескольких	s|s|s|s|s|s|s|s|r_о|d
детских	s|s|s|s|s|s|r_й
стихотворений	s|s|s|s|s|s|s|s|s|s|s|s|r_е
)	s
,	s
но	s|s
с	s
1950	s|s|s|s
-	s
х	r_й
годов	s|s|s|d|d
распространялись	s|s|s|s|s|s|s|s|s|s|s|s|r_т|r_ь|s|r_я
в	s
самиздате	s|s|s|s|s|s|s|s|d
.	s

Каждый	l|s|s|s|s|s
полюс	s|s|s|s|s
соответствует	s|s|s|s|s|s|s|s|s|s|r_ов|r_а|s|r_ь
определенному	s|s|s|s|s|s|s|s|s|s|r_ы|r_й|d
психологическому	s|s|s|s|s|s|s|s|s|s|s|s|s|r_и|r_й|d
аспекту	s|s|s|s|s|s|d
нашей	s|s|s|d|d
жизни	s|s|s|s|r_ь
.	s

Затем	l|s|s|s|s
семья	s|s|s|s|s
Сырбу	s|s|s|s|s
(	s
папа	s|s|s|s
,	s
Алексей	s|s|s|s|s|s|s
Иванович	s|s|s|s|s|s|s|s
Сырбу	s|s|s|s|s
,	s
мама	s|s|s|s
,	s
Евгения	s|s|s|s|s|s|s
Георгиевна	s|s|s|s|s|s|s|s|s|s
Сырбу	s|s|s|s|s
,	s
брат	s|s|s|s
,	s
Алексей	s|s|s|s|s|s|s
)	s
переехала	s|s|s|s|s|s|s|r_т|r_ь
в	s
город	s|s|s|s|s
Бельцы	s|s|s|s|s|s
,	s
где	s|s|s
Раду	s|s|s|s
окончил	s|s|s|s|s|s|r_ть
9	s
-	s
й	s
класс	s|s|s|s|s
.	s

В	l
США	s|s|s
вышли	s|s|r_й|r_т|s
магнитные	s|s|s|s|s|s|s|s|r_й
альбомы	s|s|s|s|s|s|d
``	s|s
Песни	l|s|s|s|r_я
Григория	s|s|s|s|s|s|s|r_й
Дикштейна	s|s|s|s|s|s|s|s|d
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
1992	s|s|s|s
)	s
,	s
``	s|s
Как	l|s|s
это	s|s|s
делалось	s|s|s|s|r_т|r_ь|s|r_я
...	s|s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
1992	s|s|s|s
)	s
и	s
``	s|s
Две	l|s|r_а
души	s|s|s|r_а
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
1995	s|s|s|s
)	s
,	s
компактные	s|s|s|s|s|s|s|s|s|r_й
диски	s|s|s|s|d
``	s|s
Крылья	l|s|s|s|r_о|d
клеенные	s|s|s|r_и|r_т|r_ь|d|d
воском	s|s|s|s|d|d
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
1998	s|s|s|s
)	s
,	s
``	s|s
Старое	l|s|s|s|r_ы|r_й
танго	s|s|s|s|s
с	s
секретом	s|s|s|s|s|s|d|d
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
1999	s|s|s|s
)	s
,	s
``	s|s
Как	l|s|s
это	s|s|s
делалось	s|s|s|s|r_т|r_ь|s|r_я
...	s|s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
2001	s|s|s|s
год	s|s|s
,	s
ремейк	s|s|s|s|s|s
пластинки	s|s|s|s|s|s|s|s|r_а
)	s
,	s
``	s|s
Лаокоон	s|s|s|s|s|s|s
и	s
другие	s|s|s|s|r_о|r_й
...	s|s|s
``	s|s
(	s
2003	s|s|s|s
)	s
,	s
``	s|s
Слепок	l|s|s|s|s|s
с	s
натуры	s|s|s|s|s|r_а
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
2006	s|s|s|s
)	s
и	s
юбилейный	s|s|s|s|s|s|s|s|s
сборник	s|s|s|s|s|s|s
``	s|s
Пересыхающий	l|s|s|s|s|s|s|s|r_т|r_ь|d|d
ручей	s|s|s|s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
2006	s|s|s|s
г.	s|s
,	s
Музпром	s|s|s|s|s|s|s
,	s
Москва	s|s|s|s|s|s
)	s
.	s

А	l
с	s
2002	s|s|s|s
года	s|s|s|d
режиссёр	s|s|s|s|s|s|r_е|s
стал	s|s|s|r_ть
снимать	s|s|s|s|s|s|s
фильмы	s|s|s|s|s|d
по	s|s
собственным	s|s|s|s|s|s|s|s|s|s|r_й
сценариям	s|s|s|s|s|s|s|r_й|d
,	s
первой	s|s|s|s|r_ы|s
такой	s|s|s|s|s
работой	s|s|s|s|s|r_а|d
стал	s|s|s|r_ть
фильм	s|s|s|s|s
``	s|s
Икота	l|s|s|s|s
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
(	s
)	s
.	s

Он	l|s
утверждал	s|s|s|s|s|s|s|s|r_ть
,	s
что	s|s|s
``	s|s
Просмотр	l|s|s|s|s|s|s|s
боя	s|s|r_й
после	s|s|s|s|s
боя	s|s|r_й
и	s
ещё	s|s|r_е
одного	s|s|i_и|d|d|d
боя	s|s|r_й
сильно	s|s|s|s|s|s
наскучивает	s|s|s|s|s|s|s|s|s|r_т|r_ь
,	s
и	s
это	s|s|s
только	s|s|s|s|s|s
начало	s|s|s|s|s|s
тенденции	s|s|s|s|s|s|s|s|r_я
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
.	s

Aeromot	s|s|s|s|s|s|s
(	s
)	s
--	s|s
бразильская	s|s|s|s|s|s|s|s|s|r_и|r_й
авиаремонтная	s|s|s|s|s|s|s|s|s|s|s|r_ы|r_й
компания	s|s|s|s|s|s|s|s
,	s
авиапроизводитель	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s
.	s

Питание	l|s|s|s|s|s|s
снеговое	s|s|s|s|s|s|s|r_й
и	s
дождевое	s|s|s|s|s|s|s|r_й
.	s

Абдурахманов	s|s|s|s|s|s|s|s|s|s|s|s
внес	s|s|s|s|r_ти
значительный	s|s|s|s|s|s|s|s|s|s|s|s
вклад	s|s|s|s|s
в	s
формирование	s|s|s|s|s|s|s|s|s|s|s|s
и	s
развитие	s|s|s|s|s|s|s|s
азербайджанской	s|s|s|s|s|s|s|s|s|s|s|s|s|r_и|s
монументальной	s|s|s|s|s|s|s|s|s|s|s|s|r_ы|s
и	s
станковой	s|s|s|s|s|s|s|r_ы|s
пластики	s|s|s|s|s|s|s|r_а
.	s

Но	l|s
желание	s|s|s|s|s|s|s
заложника	s|s|s|s|s|s|s|s|d
защитить	s|s|s|s|s|s|s|s
своего	s|s|s|r_й|d|d
захватчика	s|s|s|s|s|s|s|s|s|d
или	s|s|s
вообще	s|s|s|s|s|s
``	s|s
объединиться	s|s|s|s|s|s|s|s|s|s|s|s
с	s
ним	i_о|d|d
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
в	s
общем	s|s|s|s|r_е
было	s|s|r_т|r_ь
известно	s|s|s|s|s|s|s|r_ый
задолго	s|s|s|s|s|s|s
до	s|s
стокгольмских	s|s|s|s|s|s|s|s|s|s|s|s|r_й
событий	s|s|s|s|s|s|r_е
,	s
давших	s|s|r_т|r_ь|d|d
название	s|s|s|s|s|s|s|s
``	s|s
синдрому	s|s|s|s|s|s|s|d
заложника	s|s|s|s|s|s|s|s|d
&#39;&#39;	s|s|s|s|s|s|s|s|s|s
.	s

Данная	l|s|s|s|r_ы|r_й
форма	s|s|s|s|s
названия	s|s|s|s|s|s|s|r_е
принята	s|s|s|s|s|s|r_ь
в	s
1994	s|s|s|s
году	s|s|s|d
.	s

В	l
период	s|s|s|s|s|s
начальной	s|s|s|s|s|s|s|r_ы|s
исламизации	s|s|s|s|s|s|s|s|s|s|r_я
Ирана	s|s|s|s|d
при	s|s|s
Умайядах	s|s|s|s|s|s|d|d
и	s
ранних	s|s|s|s|s|r_й
Аббасидах	s|s|s|s|s|s|s|d|d
,	s
персидский	s|s|s|s|s|s|s|s|s|s
язык	s|s|s|s
вскоре	s|s|s|s|s|s
стал	s|s|s|r_ть
литературным	s|s|s|s|s|s|s|s|s|s|s|r_й
языком	s|s|s|s|d|d
всей	s|i_е|r_ь|d
территории	s|s|s|s|s|s|s|s|s|r_я
Центральной	l|s|s|s|s|s|s|s|s|r_ы|s
Азии	s|s|s|r_я
.	s

Поскольку	l|s|s|s|s|s|s|s|s
Ибн	s|s|s
Турк	s|s|s|s
был	s|s|r_ть
современником	s|s|s|s|s|s|s|s|s|s|s|d|d
ал	s|s
-	s
Хорезми	s|s|s|s|s|s|s
,	s
и	s
поскольку	s|s|s|s|s|s|s|s|s
трактаты	s|s|s|s|s|s|s|d
обоих	s|s|r_а|d|d
авторов	s|s|s|s|s|d|d
имеют	s|s|s|r_т|r_ь
сходную	s|s|s|s|s|r_ы|r_й
организацию	s|s|s|s|s|s|s|s|s|s|r_я
и	s
даже	s|s|s|s
совпадают	s|s|s|s|s|s|s|r_т|r_ь
в	s
ряде	s|s|s|d
примеров	s|s|s|s|s|s|d|d
,	s
Саили	s|s|s|s|s
делает	s|s|s|s|r_т|r_ь
вывод	s|s|s|s|s
,	s
что	s|s|s
ни	s|s
ал	s|s
-	s
Хорезми	s|s|s|s|s|s|s
,	s
ни	s|s
Ибн	s|s|s
Турк	s|s|s|s
не	s|s
были	s|s|r_т|r_ь
основателями	s|s|s|s|s|s|s|s|s|r_ь|d|d
