ogólnopolskiej	D1eD0j
.	O

jest	R3jbR2eyR1sćD0t
pan	O
Józef	O
Krzysztoforski	O
.	O

A	1
imię	O
jego	R3joR2enD1gD0o
było	R1łćD0o
Przekora	O
.	O

W	1
drodze	R2dgR1zaD0e
powrotnej	R1eyD0j
musieli	R1lćD0i
często	O
odpoczywać	O
.	O

Z	1
Rosji	↑R0ia
uciekli	R2kcD1lD0i
jedni	R1neR0in
z	O
pierwszych	D1cD0h
.	O

Również	1
fotel	O
obok	O
niej	R3noR2inD1eD0j
pozostał	R0łć
pusty	O
.	O

-	O
Pan	1
mówi	I0ć
całkiem	O
nieźle	O
.	O

Istotnie	1
to	O
kolosalna	R0ay
różnica	O
.	O

I	1
Pan	O
Jezus	O
krzyż	O
nad	O
nimi	R3noR2inD1mD0i
uczynił	R0łć
,	O
a	O
oni	D0i
się	O
zamienili	R1lćD0i
w	O
trzy	O
drzewa	R0ao
jabłonne	R0ey
.	O

Muszę	R1ziR0ęeI0ć
się	O
do	O
tego	D2eD1g
ustosunkować	O
.	O

Zapowiedzieli	R1lćD0i
,	O
że	O
lekarzom	D1oD0m
nie	O
należą	R0ąeI0ć
się	O
zaległe	R0ey
pieniądze	D0e
,	O
bo	O
prawo	O
nie	O
działa	I0ć
wstecz	O
.	O

Bardzo	1
często	O
,	O
kiedy	O
był	R0łć
em	R1ebR0myI0ć
wściekły	O
i	O
napięty	R2ęąR1tćD0y
,	O
wypijał	R0łć
em	R1ebR0myI0ć
na	O
rozluźnienie	D5nD4iD3eR0eć
piwko	O
czy	O
setkę	R0ęa
.	O

We	D0e
włosach	D2aD1cD0h
rudych	D1cD0h
widział	R1aeR0łć
boży	O
ogień	O
.	O

Teraz	1
wybiorą	R3irR2oaR1rćD0ą
go	R1goR0on
spośród	O
swego	R2eóR1gjD0o
grona	R0ao
członkowie	R4keR3okD2wD1iD0e
Rady	R0ya
.	O

Intuicja	1
okazała	R1łćD0a
się	O
przydatna	R0ay
.	O

Państwo	1
Książkowie	↑R4keR3okD2wD1iD0e
zajmują	R2uoR1jwR0ąaI0ć
się	O
produkcją	R0ąa
roślinną	R0ąy
.	O

Część	1
z	O
nich	R3noR2inD1cD0h
była	R1łćD0a
wypełniona	R2oćD1nD0a
cieczą	D0ą
.	O

Polacy	↑R1ckD0y
zajęli	R2ęąR1lćD0i
w	O
nich	R3noR2inD1cD0h
III	O
miejsce	O
.	O

W	1
Wiśle	↑R2śsR1lłR0ea
pod	O
koniec	O
lat	R2lrR1aoR0tk
70	O
.	O
grał	R0łć
krótko	O
czarnoskóry	O
Anthony	O
Freeman	O
.	O

-	O
W	1
jaki	O
sposób	O
dbasz	R1sćD0z
o	O
siebie	O
latem	R1eoD0m
?	O

Zapraszam	R0mć
.	O

Jak	1
to	O
wygląda	I0ć
w	O
praktyce	R1ckR0ea
?	O

Produkcja	1
idzie	R3dśR2zćD1iD0e
7	O
dni	R1nzI0eI0ń
w	O
tygodniu	D5gD4oR2nzR0ueI0ń
.	O

Do	1
słuchawki	R0ia
powiedział	R1aeR0łć
,	O
że	O
dłużej	R2żgR1eoD0j
nie	O
może	R2oóR1żcD0e
reprezentować	O
takiego	D2eD1gD0o
rządu	D0u
.	O

Nazajutrz	1
nie	O
mógł	R1gcD0ł
się	O
dobudzić	O
Szczęsnego	↑R2eyD1gD0o
.	O

Szczekały	R1łćD0y
przez	O
długi	O
czas	O
wśród	O
jasnej	R1eyD0j
od	O
księżyca	D0a
nocy	D0y
.	O

Ale	1
przecież	O
tym	R1yeR0mn
razem	D1eD0m
Isa	O
nie	O
był	R0łć
na	O
wojnie	R1iaD0e
.	O

Popędzali	R1lćD0i
swoje	R2oóD0e
konie	R2nńD1iD0e
,	O
bo	O
koniecznie	O
chcieli	R1lćD0i
dopaść	O
upatrzonej	R3oyR2nćD1eD0j
zwierzyny	R0ya
.	O

trzeba	O
powtórzyć	O
.	O

Ponownie	1
musiał	R1aeR0łć
użyć	O
ręcznika	D0a
.	O

—	O
Mówi	I0ć
,	O
że	O
nie	O
jest	R3jbR2eyR1sćD0t
żonaty	O
.	O

-	O
A	1
jak	O
głosowali	R1lćD0i
inni	R0iy
sarajewscy	R1ckR0yi
Serbowie	↑D3oD2wD1iD0e
?	O

Idiotka	1
Zuzia	O
zapomniała	R2aeR1łćD0a
zrobić	O
w	O
banku	D0u
blokadę	R0ęa
i	O
całą	R0ąy
forsę	R0ęa
zajęli	R2ęąR1lćD0i
na	O
długi	D0i
.	O

Zdaniem	D0m
senator	O
Grześkowiak	O
,	O
naruszała	R1łćD0a
ona	D0a
zasadę	R0ęa
zaufania	R0ae
obywateli	D0i
do	O
państwa	R0ao
.	O

Transportowany	R1nćD0y
do	O
szpitala	D0a
zakopiańskiego	D2eD1gD0o
zmarł	R3meR2amR0łzI0eI0ć
w	O
drodze	R2dgR1zaD0e
.	O

Wardziński	O
brał	R0łć
Santa	O
Anę	↑I2nR0ęa
!	O

Przewrócił	R0łć
em	R1ebR0myI0ć
jakieś	D1e
puszki	R0ia
,	O
stracił	R0łć
em	R1ebR0myI0ć
kamerę	R0ęa
,	O
ale	O
świeca	O
płonie	R1iąR0eć
.	O

Ekspertyza	1
potwierdziła	R1łćD0a
podpalenie	D3eD2nR0eć
.	O

A	1
gdzie	O
szukać	O
szamponu	D0u
,	O
który	O
myje	R1jćD0e
?	O

I	1
już	O
lecą	R0ąiI0eI0ć
,	O
wyją	R1jćD0ą
.	O
.	O
.	O

Było	R1łćD0o
jej	R2joR1enD0j
ciężko	O
samej	D1eD0j
we	D0e
Francji	↑R0ia
.	O

Czego	D3zD2eD1g
oni	D0i
chcą	R0ąiI0eI0ć
od	O
nas	R2nmR1ayD0s
,	O
Niemców	↑R2ciR1óeR0wc
?	O

Na	1
tych	R2yeR1cnD0h
,	O
którzy	D1z
przetrwali	R1lćD0i
pogodowe	R0ey
anomalie	R0ea
,	O
czekało	R1łćD0o
wyzwanie	O
.	O

Pokazał	R0łć
klasę	R0ęa
polityka	D0a
.	O

Oj	1
,	O
słyszą	R0ąeI0ć
.	O

Jest	R3jbR2eyR1sćD0t
mało	O
ścieżek	R1ekR0ka
rowerowych	D1cD0h
.	O

Franciszek	O
Aromiński	O
zawiadomił	R0łć
o	O
wszystkim	R1ioD0m
prokuraturę	R0ęa
.	O

Ktoś	1
nie	O
chciał	R1aeR0łć
zjechać	O
z	O
drogi	R0ia
,	O
ktoś	O
napierał	R0łć
.	O

-	O
Nie	1
możemy	R4oóR3żcD2eD1mD0y
mówić	O
o	O
czarnym	D0m
scenariuszu	D0u
.	O

-	O
Te	I0n
zwłoki	O
są	R1sbR0ąyI0ć
w	O
prosektorium	O
.	O

Powiedz	I0iI0eI0ć
,	O
jeśli	O
wiesz	R1sdI0iI0eI0ć
!	O

A	1
potem	O
będę	R2ęyR1dćD0ę
składać	O
apelację	R0ęa
.	O

Dziewczyny	R0ya
są	R1sbR0ąyI0ć
zachwycone	R2oiR1nćD0e
.	O

Zdecydują	R2uoR1jwR0ąaI0ć
o	O
tym	R1yoD0m
rady	R0ya
krajowe	R0ey
SLD	O
i	O
Unii	R0ia
Pracy	R0ya
oraz	O
Rada	1
Naczelna	R0ay
PSL	O
.	O

Polecam	R0mć
wszystkim	R3tcR2kyD1iD0m
.	O

Na	1
rozwieszonej	R4ziR3oćD2nD1eD0j
chustce	R1ckR0ea
do	O
nosa	D0a
ujrzał	R1aeR0łć
em	R1ebR0myI0ć
film	O
.	O

-	O
Dam	R0mć
sobie	R3oiI3e
radę	R0ęa
.	O

Zginęło	R2ęąR1łćD0o
wówczas	O
czterech	R2eyD1cD0h
funkcjonariuszy	D0y
policji	R0ia
egipskiej	D1eD0j
.	O

włożyła	R1łćD0a
ś	R0śbI0yI0ć
.	O

-	O
Analfabetyzmowi	D2oD1wD0i
wydali	R1lćD0i
śmy	R2śbR1myR0yć
zdecydowaną	R0ąy
walkę	R0ęa
,	O
spodziewamy	R1mćD0y
się	O
niebawem	O
zlikwidować	O
go	R1goR0on
całkowicie	O
.	O

Moja	R2oóD0a
bratanica	O
była	R1łćD0a
na	O
pogrzebie	D1iD0e
.	O

Kto	1
mi	R1mjR0ia
to	O
mówił	R0łć
?	O

Zdał	R0łć
em	R1ebR0myI0ć
też	O
inne	R0ey
przedmioty	D0y
.	O

Jaka	R0ai
to	O
juka	O
?	O

-	O
Ja	1
wiem	I3iI3eI3dI3zR0mć
.	O

Zawierają	R1jćD0ą
chrom	O
.	O

Kobieta	1
wchodzi	I0ć
na	O
końcu	R2ńnR1ciR0ueI0c
,	O
trzymając	R2jćD1ąD0c
przed	O
sobą	R2oiI2eR0ąiI0e
torbę	R0ęa
,	O
w	O
prawej	R1eyD0j
ręce	R1ckR0ea
.	O

Nic	1
nie	O
widziała	R2aeR1łćD0a
m	R0mbI0yI0ć
,	O
nic	O
nie	O
słyszała	R2aeR1łćD0a
m	R0mbI0yI0ć
.	O

Byli	R1lćD0i
chłopi	D0i
zwiezieni	D6iD5eD4zR1nźR0ić
autobusami	D2aD1mD0i
.	O

Czy	1
my	O
żyjemy	R3jćD2eD1mD0y
w	O
jakimś	D1m
kompletnie	O
dzikim	D0m
kraju	D0u
?	O

W	1
ataku	D0u
grali	R1lćD0i
Michalis	O
Konstantinou	O
i	O
Nikos	O
Liberopoulos	O
.	O

Ciało	1
Gwieździka	↑D0a
znaleziono	R4zźR3ićD2oD1nD0o
przypadkiem	D3kD2iR0mk
.	O

To	1
jest	R3jbR2eyR1sćD0t
druga	R0ai
z	O
niepodważalnych	D1cD0h
prawd	I0a
węglowych	D1cD0h
.	O

Dętka	1
była	R1łćD0a
dziurawa	R0ay
.	O

Nie	1
umiał	R1aeR0łć
już	O
znieść	O
tego	D2eD1g
dłużej	R2żgR1eoD0j
.	O

Jak	1
ksiądz	O
biskup	O
ocenia	I0ć
bilans	O
tego	R1gnD0o
przejścia	R0ae
?	O

Chociaż	1
wcale	O
sie	R0eę
do	O
tego	D2eD1g
nie	O
przyznają	R1jwR0ąaI0ć
.	O
.	O

to	O
był	R0łć
mobbing	O
z	O
obu	R0ua
stron	I0a
?	O

Zaczęła	R2ęąR1łćD0a
wykradać	O
.	O

–	O
no	O
ja	O
jestem	R5jbR4eyR3sćD2tD1eD0m
Magda	O
no	O
.	O

to	O
jest	R3jbR2eyR1sćD0t
bardzo	O
ciekawy	O
składnik	O
.	O

Vaclavie	↑D1iD0e
,	O
czy	O
pan	O
się	O
dobrze	O
czuje	R1jćD0e
?	O

Maruderów	D1óD0w
dziarsko	O
pochlastał	R0łć
eś	R1ebR0śyI0ć
.	O
.	O
.	O

–	O
Stare	R0ey
wyrazy	D0y
żyją	R1jćD0ą
?	O

Tymczasem	1
słońce	O
podniosło	R3oeR2sśR1łćD0o
się	O
wyżej	R2żsR1eoR0jkI0o
.	O

Sprawdzę	R0ęiI0ć
na	O
naszej	D1eD0j
taśmie	R1iaD0e
.	O

W	1
wielu	R0ue
miastach	R2aoD1cD0h
widzieli	R1lćD0i
śmy	R2śbR1myR0yć
gigantyczne	R0ey
kolejki	R0ia
.	O

Zdradzisz	R1sćD0z
nam	R2nmR1ayD0m
sekrety	D0y
urody	R0ya
Cosmodziewczyny	↑R0ya
?	O

Zapał	1
poszedł	R5oóR4sjR3zśR2ećD1dD0ł
na	O
marne	R0ey
.	O

Pamiętasz	R1sćD0z
?	O

Nie	1
ma	R0aiI0eI0ć
ona	D0a
już	O
nic	O
do	O
dodania	R2nćD1iD0a
.	O

Myślę	R0ęeI0ć
,	O
że	O
znajdzie	R4jlR3deR2zźR1ićD0e
się	O
ktoś	O
lepszy	R5ldR4eoR3pbR2srD1z
na	O
to	R0oeI0n
stanowisko	O
.	O

Widział	R1aeR0łć
em	R1ebR0myI0ć
i	O
takie	D0e
świątynie	R0ea
,	O
i	O
takie	D0e
domy	D0y
.	O

Wykorkowała	R1łćD0a
jakieś	D1e
dwa	O
lata	R3lrR2aoR1tkD0a
temu	O
.	O

Poszła	R4oóR3sjR2zśR1łćD0a
m	R0mbI0yI0ć
.	O

Z	1
nerwów	D2wD1ó
zaczęła	R2ęąR1łćD0a
mi	R1mjR0ia
się	O
psuć	O
cera	O
.	O

Wydało	R1łćD0o
mi	R1mjR0ia
to	O
się	O
szalenie	O
zabawne	R0ey
.	O

Dlaczego	1
ja	O
jestem	R5jbR4eyR3sćD2tD1eD0m
dziewczyną	R0ąa
?	O

Była	R1łćD0a
by	O
piękna	R0ay
.	O

Nie	1
słyszał	R1aeR0łć
em	R1ebR0myI0ć
o	O
tym	R1yeR0mn
wynalazku	R1keR0uk
.	O

Dopiero	1
wtedy	O
Dorcia	O
zobaczyła	R1łćD0a
,	O
że	O
od	O
ostatniego	D2eD1gD0o
widzenia	R0ae
bardzo	O
się	O
zmienił	R0łć
em	R1ebR0myI0ć
.	O

Niezadowolenie	1
wyrazili	R1lćD0i
również	O
jej	R2joR1enD0j
koledzy	R2dgR1zaD0y
z	O
SDP	O
.	O

Teraz	1
będzie	R4ęyR3dćD2zD1iD0e
musiał	R1aeR0łć
zmienić	O
miasto	O
albo	O
przyzwyczajenia	R0ae
.	O

-	O
Pawlak	O
patrzył	R0łć
pytająco	O
na	O
Wieczorka	↑R1keR0ak
.	O

Trudno	1
było	R1łćD0o
otworzyć	O
drzwi	O
.	O

Nie	1
rozumie	I0ć
pani	O
?	O

To	1
jeszcze	O
nie	O
koniec	O
.	O

Jak	1
próbował	R0łć
eś	R1ebR0śyI0ć
sobie	R3oiI3e
z	O
nimi	R3noR2inD1mD0i
radzić	O
?	O

Wiem	I3iI3eI3dI3zR0mć
o	O
tobie	R3oyD2bD1iD0e
wszystko	O
.	O

-	O
Nie	1
znasz	R1sćD0z
jej	R2joR1enD0j
.	O

Do	1
czego	D3zD2eD1g
się	O
nadajesz	R3jwR2eaR1sćD0z
?	O

W	1
tej	R0jn
sprawie	R1iaD0e
jest	R3jbR2eyR1sćD0t
wiele	O
niewiadomych	R2yaD1cD0h
.	O

Tutaj	1
mieszkała	R1łćD0a
siostra	O
jednego	D3nR1gnD0o
z	O
kierowców	R1óaD0w
.	O

Najpierw	1
wynieśli	R1lćD0i
matkę	R0ęa
w	O
przezroczystym	D0m
worku	R1keR0uk
,	O
a	O
potem	O
wyprowadzili	R1lćD0i
Sinalka	↑R1keR0ak
.	O

Rada	1
ma	R0aiI0eI0ć
co	O
najmniej	O
trzy	O
miesiące	D0e
na	O
zbieranie	R2nćD1iD0e
wniosków	R2keR1ókD0w
o	O
koncesje	R0ea
.	O

Nie	1
mamy	R2aiR1meR0yć
dość	O
miejsca	R0ae
,	O
by	O
wymienić	O
rozmaite	R0ey
preferencje	R0ea
,	O
możliwości	R1cćD0i
i	O
sposoby	R2oóD0y
.	O

Ale	1
płód	O
nie	O
jest	R3jbR2eyR1sćD0t
dzieckiem	R2ioD1eD0m
.	O

W	1
każdym	D0m
razie	D1iD0e
teraz	O
się	O
jeszcze	O
nie	O
daje	R1jwR0eaI0ć
.	O
.	O
.	O

Zaczął	R0łć
również	O
przejmować	O
ministerstwa	R0ao
.	O

Prawdopodobnie	1
nawet	O
orzeczenie	O
Trybunału	D0u
Konstytucyjnego	R2eyD1gD0o
potwierdzające	R3jćD2ąD1cD0e
zarzuty	D0y
nie	O
odmieni	I0ć
losu	D0u
podatników	D1óD0w
.	O

Ze	D0e
wschodnim	D0m
uporem	R3oóD1eD0m
i	O
takąż	R1ąi
wytrwałością	R2cćD1iD0ą
badali	R1lćD0i
każdą	R0ąy
ewentualność	O
sami	D0i
,	O
przez	O
swych	R2yóR1cjD0h
znajomych	D1cD0h
,	O
przez	O
znajomych	D1cD0h
,	O
aż	O
znaleźli	R1lćD0i
.	O

Miał	R1aeR0łć
em	R1ebR0myI0ć
zapas	O
na	O
dole	R2oóR1lłD0e
wózka	R1keR0ak
.	O

Po	1
przerwie	R1iaD0e
przeważali	R1lćD0i
gospodarze	D0e
,	O
którzy	D1z
trzykrotnie	O
mieli	R1lćD0i
okazję	R0ęa
na	O
podwyższenie	R3eyR2nćD1iD0e
wyniku	D0u
.	O

U	1
siebie	O
w	O
pokoju	R2oóD0u
mam	R1aiR0meI0ć
menorę	R0ęa
,	O
izraelskie	D0e
plakaty	D0y
.	O

Szedł	R4siR3zśR2ećD1dD0ł
eś	R1ebR0śyI0ć
po	O
powierzchni	I0a
wody	R0ya
.	O

Wyprostował	R0łć
się	O
.	O

Ale	1
we	D0e
wtorek	O
przyniosę	R2oeR1sśR0ęć
do	O
Jurka	↑R1keR0ak
.	O

Jewhen	O
drzemał	R0łć
na	O
krześle	R2śsR1lłR0eo
przy	O
drzwiach	D2aD1cD0h
.	O

Dygoce	R1ctR0eaI0ć
na	O
całym	D0m
ciele	R2eaR1lłR0eo
.	O

Handluje	R2uoR1jwR0eaI0ć
z	O
powodzeniem	D0m
.	O

W	1
takiej	D1eD0j
pozycji	R0ia
całe	R0ey
ciało	O
pochyla	I0ć
się	O
do	O
przodu	R2oóD0u
i	O
wyglądasz	R1sćD0z
ociężale	O
.	O

–	O
rozumiem	R0mć
.	O
.	O

Cóż	1
robić	O
?	O

Taki	1
jest	R3jbR2eyR1sćD0t
zresztą	O
jej	R2joR1enD0j
sens	O
i	O
wartość	O
adaptacyjna	R0ay
.	O

Tu	1
potrafią	R0ąć
dobrze	O
oskubać	O
marynarzy	D0y
.	O

Roboty	1
finansowało	R1łćD0o
w	O
całości	R1cćD0i
uzdrowisko	O
.	O

Lecz	1
jakimi	D2iD1m
kategoriami	D1mD0i
myślą	R0ąeI0ć
Anglicy	↑R1ckD0y
?	O

Straszny	1
ziąb	O
w	O
nawie	R1iaD0e
,	O
nawet	O
anioł	O
ze	D0e
środkowego	R2eyD1gD0o
pilastru	R1reR0ur
wydaje	R1jwR0eaI0ć
się	O
drżeć	O
z	O
chłodu	R2oóD0u
.	O

-	O
Będzie	R4ęyR3dćD2zD1iD0e
się	O
Pan	1
opierał	R0łć
na	O
betonie	D1iD0e
?	O

Jegomość	1
z	O
robaczkiem	D3kD2iR0mk
wyciągnął	R0łć
antenki	R0ia
.	O

Sytuacja	1
była	R1łćD0a
niejasna	R0ay
.	O

Wyprawa	1
,	O
zmuszona	R3ziR2oćD1nD0a
do	O
przyjęcia	R3ęąR2cćD1iD0a
walki	R0ia
,	O
rozbiła	R1łćD0a
się	O
na	O
wiele	O
części	R1cćD0i
.	O

Uderzył	R0łć
kastetem	D1eD0m
w	O
samochodzie	R4oóD2zD1iD0e
,	O
potem	O
udusił	R0łć
.	O

-	O
Znam	R0mć
teczkę	R0ęa
brata	D0a
i	O
przyjaciela	D0a
.	O

Profesor	1
z	O
dużym	D0m
sceptycyzmem	D2mD1e
spogląda	I0ć
w	O
przyszłość	O
.	O

Nie	1
sądzi	I0ć
pan	O
,	O
że	O
te	I0n
kłamstwa	R0ao
kompromitują	R2uoR1jwR0ąaI0ć
naukę	R0ęa
scientologiczną	R0ąy
?	O

-	O
Kilka	1
godzin	I0a
spędziła	R1łćD0a
m	R0mbI0yI0ć
przed	O
lustrem	R1eoD0m
zastanawiając	R2jćD1ąD0c
się	O
,	O
co	O
włożyć	O
.	O

Co	1
czynię	R0ęć
dla	O
Chrystusa	↑D0a
?	O

–	O
Ehm	1
,	O
nie	O
wiem	I3iI3eI3dI3zR0mć
tak	O
naprawdę	O
,	O
Komediancie	R2ctD1iD0e
.	O

pijesz	R3jćD2eD1sD0z
taką	R0ąi
wodę	R0ęa
?	O

Niech	1
was	R1ayD0s
Bóg	O
prowadzi	I0ć
!	O

Dziewczynka	1
ma	R0aiI0eI0ć
katar	O
i	O
bierze	D4iD3eR1zaR0eć
antybiotyki	D0i
.	O

-	O
Też	1
musiał	R1aeR0łć
em	R1ebR0myI0ć
się	O
uśmiechnąć	O
.	O

Głupiego	D2eD1gD0o
samochodu	R2oóD0u
na	O
parę	O
minut	I0a
zostawić	O
nie	O
można	O
,	O
to	O
się	O
nazywa	I0ć
MO	O
?	O

Bożena	O
też	O
nie	O
ma	R0aiI0eI0ć
z	O
czego	D3zD2eD1g
zwrócić	O
pożyczki	R0ia
.	O

Ostatnie	D0e
tony	D0y
koncertu	D0u
umilkły	R1łnR0yąI0ć
.	O

Zwykle	1
jest	R3jbR2eyR1sćD0t
to	O
niemożliwe	R0ey
do	O
zrobienia	D4iD3eD2nR0ać
.	O

–	O
przemieniło	R1łćD0o
.	O

-	O
Odwieźć	1
cię	R2ctR1iyD0ę
?	O

Funkcjonariusze	D0e
policji	R0ia
przypuszczają	R1jćD0ą
,	O
że	O
ofiara	O
zasnęła	R2ęąR1łćD0a
.	O

-	O
Ale	1
opłaciło	R1łćD0o
się	O
.	O

Zawsze	1
bronili	R1lćD0i
śmy	R2śbR1myR0yć
interesów	D1óD0w
świata	D0a
pracy	R0ya
.	O

Boguś	O
mieszka	I0ć
tu	O
i	O
pracuje	R2uoR1jwR0eaI0ć
.	O

Żeby	1
umiał	R1aeR0łć
sprostać	O
zadaniom	R1oeD0m
typowo	O
męskim	D0m
.	O

Nie	1
zwolnił	R0łć
przed	O
60-stopniowym	D0m
zakrętem	D1eD0m
.	O

Pan	1
chciał	R1aeR0łć
by	O
szefa	D0a
podporządkować	O
bezpośrednio	O
prezydentowi	D2oD1wD0i
.	O

Nie	1
ma	R1mbR0ayI0ć
takiego	D2eD1gD0o
tematu	D0u
.	O

Była	R1łćD0a
to	O
wieś	O
Dolsko	O
.	O

-	O
Ach	1
,	O
panie	D1iD0e
Aleksandrze	↑R2reR1zrD0e
,	O
sama	D0a
już	O
nie	O
wiem	I3iI3eI3dI3zR0mć
.	O

Bo	1
już	O
mamy	R2aiR1meR0yć
wiosnę	R0ęa
,	O
a	O
dopiero	O
się	O
o	O
tym	R1yeR0mn
wszystkim	R1ioD0m
mówi	I0ć
.	O

Obecnie	1
trwa	I0ć
sadzenie	D3eD2nR0eć
późniejszych	D7iD6eD5jD4sD3zD1cD0h
odmian	I0a
.	O

Nad	1
falami	D1mD0i
sterczał	R1aeR0łć
jeszcze	O
tylko	O
wystrzelający	R3jćD2ąD1cD0y
pionowo	O
dziób	O
.	O

Skoczył	R0łć
.	O

-	O
Katolik	1
nie	O
musi	I0eI0ć
wierzyć	O
w	O
cuda	D0a
?	O

Ranny	1
będzie	R4ęyR3dćD2zD1iD0e
wymagał	R0łć
natychmiastowej	R1eyD0j
pomocy	D0y
.	O

W	1
intymną	R0ąy
narrację	R0ęa
wdzierają	R1jćD0ą
się	O
echa	R0ao
bośniackiej	D1eD0j
tragedii	R0ia
.	O

Do	1
komendy	R0ya
policji	R0ia
w	O
Olsztynie	↑D1iD0e
zgłosiła	R1łćD0a
się	O
matka	O
aktorki	R0ia
.	O

Wracając	R2jćD1ąD0c
mijamy	R1mćD0y
wrak	O
samochodu	R2oóD0u
.	O

Dlatego	1
nie	O
musi	I0eI0ć
znać	O
wszystkich	R3keR2ikD1cD0h
lokalnych	D1cD0h
niuansów	D1óD0w
.	O

3-letnia	O
Joasia	O
wybierała	R1łćD0a
się	O
z	O
dziadkiem	D3kD2iR0mk
na	O
weekend	O
.	O

A	1
panowie	D3oD2wD1iD0e
maja	R2aiR1jeR0ać
w	O
tej	R0jn
kwestii	R0ia
bardzo	O
duże	R0ey
naczenie	I8z
.	O
.	O
.	O

Kleks	1
kapnął	R0łć
na	O
stenogram	O
Lewina	↑D0a
.	O

Firma	1
Kupiec	O
i	O
inni	R0iy
martwią	R0ąć
się	O
też	O
o	O
przyszłość	O
.	O

My	1
je	R1joR0en
wreszcie	O
sfinalizowali	R1lćD0i
śmy	R2śbR1myR0yć
.	O

Wnet	1
potem	O
zaczyna	I0ć
wiać	O
.	O

Skąd	1
to	O
pani	O
przyszło	R3sjR2zśR1łćD0o
do	O
głowy	R0ya
?	O

Na	1
sali	R0ia
podniósł	R2óeR1sśR0łć
się	O
szum	O
,	O
szmer	O
,	O
krzyk	O
.	O

Nie	1
mam	R1aiR0meI0ć
pojęcia	R0ae
,	O
dlaczego	O
ignorują	R2uoR1jwR0ąaI0ć
fakty	D0y
.	O

Nie	1
wiadomo	O
,	O
