Widzę	l|s|s|s|r_ieć
dziewczęce	s|s|s|s|s|s|s|s|s|r_y
ramiona	s|s|s|s|r_ę|d|d
.	s

Ciągle	l|s|s|s|s|s
milczeli	s|s|s|s|s|s|r_ć|d
.	s

Jak	l|s|s
poszło	s|r_ó|r_j|r_ś|r_ć|d
?	s

Przywitajmy	l|s|s|s|s|s|s|s|r_ć|d|d
ją	r_o|r_n
serdecznie	s|s|s|s|s|s|s|s|s|s
.	s

Stracił	l|s|s|s|s|s|r_ć
cały	s|s|s|s
swój	s|s|s|s
początkowy	s|s|s|s|s|s|s|s|s|s
tupet	s|s|s|s|s
.	s

–	s
Ojciec	l|s|s|s|s|s
Benedykt	s|s|s|s|s|s|s|s
służył	s|s|s|s|s|r_ć
tutaj	s|s|s|s|s
?	s

Jerzy	s|s|s|s|s
został	s|s|s|s|s|r_ć
sam	s|s|s
.	s

W	l
początkach	s|s|s|s|s|s|i_e|d|d|d
następnego	s|s|s|s|s|s|s|r_y|d|d
tysiąclecia	s|s|s|s|s|s|s|s|s|s|r_e
jej	r_o|r_n|d
ruiny	s|s|s|s|r_a
pokrył	s|s|s|s|s|r_ć
śmietnik	s|s|s|s|s|s|s|s
.	s

Wymienię	l|s|s|s|s|s|s|r_ć
te	s|s|r_n
najważniejsze	d|d|d|s|s|s|s|r_y|d|d|d|d|d
.	s

-	s
Wolfgang	s|s|s|s|s|s|s|s
przestawił	s|s|s|s|s|s|s|s|s|r_ć
swoje	s|s|r_ó|s|d
krzesełko	s|s|s|s|s|s|s|s|s
w	s
cień	s|s|s|s
.	s

Mogę	l|r_ó|r_c|d
rzucić	s|s|s|s|s|s
pracę	s|s|s|s|r_a
i	s
wyjechać	s|s|s|s|s|s|s|s
do	s|s
Włoch	s|s|s|s|s|r_y
.	s

Nieco	l|s|s|s|s
częściej	s|s|s|r_s|r_t|r_o|d|d
czyniły	s|s|s|s|s|r_ć|d
to	s|s
kobiety	s|s|s|s|s|s|r_a
.	s

Na	l|s
jakiej	s|s|s|s|d|d
podstawie	s|s|s|s|s|s|s|r_a|d
to	s|s
wiemy	s|s|s|r_dzie|r_ć
?	s

Chcieli	l|s|s|s|s|r_ć|d
powiadomić	s|s|s|s|s|s|s|s|s|s
rodzinę	s|s|s|s|s|s|r_a
o	s
samobójczej	s|s|s|s|s|s|s|s|s|r_y|d
śmierci	s|s|s|s|s|r_ć|d
mężczyzny	s|s|s|s|s|s|s|s|r_a
.	s

Niech	l|s|s|s|s
pani	s|s|s|s
da	s|s|r_ć
przykład	s|s|s|s|s|s|s|s
.	s

Na	l|s
koniec	s|s|s|s|s|s
wyniki	s|s|s|s|s|d
podliczono	s|s|s|s|s|s|s|r_y|r_ć|d
by	s|s
w	s
blasku	s|s|s|s|s|d
jupiterów	s|s|s|s|s|s|s|d|d
na	s|s
wielkiej	s|s|s|s|s|s|d|d
konwencji	s|s|s|s|s|s|s|s|r_a
ogólnopolskiej	s|s|s|s|s|s|s|s|s|s|s|s|d|d
.	s

jest	r_b|r_y|r_ć|d
pan	s|s|s
Józef	s|s|s|s|s
Krzysztoforski	s|s|s|s|s|s|s|s|s|s|s|s|s|s
.	s

A	l
imię	s|s|s|s
jego	r_o|r_n|d|d
było	s|s|r_ć|d
Przekora	s|s|s|s|s|s|s|s
.	s

W	l
drodze	s|s|s|r_g|r_a|d
powrotnej	s|s|s|s|s|s|s|r_y|d
musieli	s|s|s|s|s|r_ć|d
często	s|s|s|s|s|s
odpoczywać	s|s|s|s|s|s|s|s|s|s
.	s

Z	l
Rosji	s|s|s|s|r_a
uciekli	s|s|s|s|r_c|d|d
jedni	s|s|s|i_e|d
z	s
pierwszych	s|s|s|s|s|s|s|s|d|d
.	s

Również	l|s|s|s|s|s|s
fotel	s|s|s|s|s
obok	s|s|s|s
niej	i_o|d|d|d
pozostał	s|s|s|s|s|s|s|r_ć
pusty	s|s|s|s|s
.	s

-	s
Pan	l|s|s
mówi	s|s|s|s|r_ć
całkiem	s|s|s|s|s|s|s
nieźle	s|s|s|s|s|s
.	s

Istotnie	l|s|s|s|s|s|s|s
to	s|s
kolosalna	s|s|s|s|s|s|s|s|r_y
różnica	s|s|s|s|s|s|s
.	s

I	l
Pan	s|s|s
Jezus	s|s|s|s|s
krzyż	s|s|s|s|s
nad	s|s|s
nimi	i_o|d|d|d
uczynił	s|s|s|s|s|s|r_ć
,	s
a	s
oni	s|s|d
się	s|s|s
zamienili	s|s|s|s|s|s|s|r_ć|d
w	s
trzy	s|s|s|s
drzewa	s|s|s|s|s|r_o
jabłonne	s|s|s|s|s|s|s|r_y
.	s

Muszę	l|s|s|r_ie|r_ć
się	s|s|s
do	s|s
tego	s|d|d|s
ustosunkować	s|s|s|s|s|s|s|s|s|s|s|s
.	s

Zapowiedzieli	l|s|s|s|s|s|s|s|s|s|s|r_ć|d
,	s
że	s|s
lekarzom	s|s|s|s|s|s|d|d
nie	s|s|s
należą	s|s|s|s|s|r_eć
się	s|s|s
zaległe	s|s|s|s|s|s|r_y
pieniądze	s|s|s|s|s|s|s|s|d
,	s
bo	s|s
prawo	s|s|s|s|s
nie	s|s|s
działa	s|s|s|s|s|s|r_ć
wstecz	s|s|s|s|s|s
.	s

Bardzo	l|s|s|s|s|s
często	s|s|s|s|s|s
,	s
kiedy	s|s|s|s|s
był	s|s|r_ć
em	r_by|r_ć
wściekły	s|s|s|s|s|s|s|s
i	s
napięty	s|s|s|s|r_ą|r_ć|d
,	s
wypijał	s|s|s|s|s|s|r_ć
em	r_by|r_ć
na	s|s
rozluźnienie	s|s|s|s|s|s|s|s|r_ć|d|d|d
piwko	s|s|s|s|s
czy	s|s|s
setkę	s|s|s|s|r_a
.	s

We	l|d
włosach	s|s|s|s|d|d|d
rudych	s|s|s|s|d|d
widział	s|s|s|s|s|r_e|r_ć
boży	s|s|s|s
ogień	s|s|s|s|s
.	s

Teraz	l|s|s|s|s
wybiorą	s|s|s|r_r|r_a|r_ć|d
go	r_o|r_n
spośród	s|s|s|s|s|s|s
swego	s|s|r_ó|r_j|d
grona	s|s|s|s|r_o
członkowie	s|s|s|s|s|i_e|d|d|d|d
Rady	l|s|s|r_a
.	s

Intuicja	l|s|s|s|s|s|s|s
okazała	s|s|s|s|s|r_ć|d
się	s|s|s
przydatna	s|s|s|s|s|s|s|s|r_y
.	s

Państwo	l|s|s|s|s|s|s
Książkowie	s|s|s|s|s|i_e|d|d|d|d
zajmują	s|s|s|s|r_ow|r_a|r_ć
się	s|s|s
produkcją	s|s|s|s|s|s|s|s|r_a
roślinną	s|s|s|s|s|s|s|r_y
.	s

Część	l|s|s|s|s
z	s
nich	i_o|d|d|d
była	s|s|r_ć|d
wypełniona	s|s|s|s|s|s|s|r_ć|d|d
cieczą	s|s|s|s|s|d
.	s

Polacy	s|s|s|s|r_k|d
zajęli	s|s|s|r_ą|r_ć|d
w	s
nich	i_o|d|d|d
III	s|s|s
miejsce	s|s|s|s|s|s|s
.	s

W	l
Wiśle	s|s|r_s|r_ł|r_a
pod	s|s|s
koniec	s|s|s|s|s|s
lat	r_r|r_o|r_k
70	s|s
.	s
grał	s|s|s|r_ć
krótko	s|s|s|s|s|s
czarnoskóry	s|s|s|s|s|s|s|s|s|s|s
Anthony	s|s|s|s|s|s|s
Freeman	s|s|s|s|s|s|s
.	s

-	s
W	l
jaki	s|s|s|s
sposób	s|s|s|s|s|s
dbasz	s|s|s|r_ć|d
o	s
siebie	s|s|s|s|s|s
latem	s|s|s|r_o|d
?	s

Zapraszam	l|s|s|s|s|s|s|s|r_ć
.	s

Jak	l|s|s
to	s|s
wygląda	s|s|s|s|s|s|s|r_ć
w	s
praktyce	s|s|s|s|s|s|r_k|r_a
?	s

Produkcja	l|s|s|s|s|s|s|s|s
idzie	s|r_ś|r_ć|d|d
7	s
dni	s|r_z|s|r_eń
w	s
tygodniu	s|s|d|d|s|r_z|s|r_eń
.	s

Do	l|s
słuchawki	s|s|s|s|s|s|s|s|r_a
powiedział	s|s|s|s|s|s|s|s|r_e|r_ć
,	s
że	s|s
dłużej	s|s|s|r_g|r_o|d
nie	s|s|s
może	s|r_ó|r_c|d
reprezentować	s|s|s|s|s|s|s|s|s|s|s|s|s
takiego	s|s|s|s|d|d|d
rządu	s|s|s|s|d
.	s

Nazajutrz	l|s|s|s|s|s|s|s|s
nie	s|s|s
mógł	s|s|r_c|d
się	s|s|s
dobudzić	s|s|s|s|s|s|s|s
Szczęsnego	s|s|s|s|s|s|s|r_y|d|d
.	s

Szczekały	l|s|s|s|s|s|s|r_ć|d
przez	s|s|s|s|s
długi	s|s|s|s|s
czas	s|s|s|s
wśród	s|s|s|s|s
jasnej	s|s|s|s|r_y|d
od	s|s
księżyca	s|s|s|s|s|s|s|d
nocy	s|s|s|d
.	s

Ale	l|s|s
przecież	s|s|s|s|s|s|s|s
tym	s|r_e|r_n
razem	s|s|s|d|d
Isa	s|s|s
nie	s|s|s
był	s|s|r_ć
na	s|s
wojnie	s|s|s|s|r_a|d
.	s

Popędzali	l|s|s|s|s|s|s|r_ć|d
swoje	s|s|r_ó|s|d
konie	s|s|r_ń|d|d
,	s
bo	s|s
koniecznie	s|s|s|s|s|s|s|s|s|s
chcieli	s|s|s|s|s|r_ć|d
dopaść	s|s|s|s|s|s
upatrzonej	s|s|s|s|s|s|r_y|r_ć|d|d
zwierzyny	s|s|s|s|s|s|s|s|r_a
.	s

trzeba	s|s|s|s|s|s
powtórzyć	s|s|s|s|s|s|s|s|s
.	s

Ponownie	l|s|s|s|s|s|s|s
musiał	s|s|s|s|r_e|r_ć
użyć	s|s|s|s
ręcznika	s|s|s|s|s|s|s|d
.	s

—	s
Mówi	l|s|s|s|r_ć
,	s
że	s|s
nie	s|s|s
jest	r_b|r_y|r_ć|d
żonaty	s|s|s|s|s|s
.	s

-	s
A	l
jak	s|s|s
głosowali	s|s|s|s|s|s|s|r_ć|d
inni	s|s|s|r_y
sarajewscy	s|s|s|s|s|s|s|s|r_k|r_i
Serbowie	s|s|s|s|d|d|d|d
?	s

Idiotka	l|s|s|s|s|s|s
Zuzia	s|s|s|s|s
zapomniała	s|s|s|s|s|s|s|r_e|r_ć|d
zrobić	s|s|s|s|s|s
w	s
banku	s|s|s|s|d
blokadę	s|s|s|s|s|s|r_a
i	s
całą	s|s|s|r_y
forsę	s|s|s|s|r_a
zajęli	s|s|s|r_ą|r_ć|d
na	s|s
długi	s|s|s|s|d
.	s

Zdaniem	l|s|s|s|s|s|d
senator	s|s|s|s|s|s|s
Grześkowiak	s|s|s|s|s|s|s|s|s|s|s
,	s
naruszała	s|s|s|s|s|s|s|r_ć|d
ona	s|s|d
zasadę	s|s|s|s|s|r_a
zaufania	s|s|s|s|s|s|s|r_e
obywateli	s|s|s|s|s|s|s|s|d
do	s|s
państwa	s|s|s|s|s|s|r_o
.	s

Transportowany	l|s|s|s|s|s|s|s|s|s|s|s|r_ć|d
do	s|s
szpitala	s|s|s|s|s|s|s|d
zakopiańskiego	s|s|s|s|s|s|s|s|s|s|s|d|d|d
zmarł	s|i_e|r_rz|r_e|r_ć
w	s
drodze	s|s|s|r_g|r_a|d
.	s

Wardziński	s|s|s|s|s|s|s|s|s|s
brał	s|s|s|r_ć
Santa	s|s|s|s|s
Anę	s|s|r_na
!	s

Przewrócił	l|s|s|s|s|s|s|s|s|r_ć
em	r_by|r_ć
jakieś	s|s|s|s|d|s
puszki	s|s|s|s|s|r_a
,	s
stracił	s|s|s|s|s|s|r_ć
em	r_by|r_ć
kamerę	s|s|s|s|s|r_a
,	s
ale	s|s|s
świeca	s|s|s|s|s|s
płonie	s|s|s|s|r_ą|r_ć
.	s

Ekspertyza	l|s|s|s|s|s|s|s|s|s
potwierdziła	s|s|s|s|s|s|s|s|s|s|r_ć|d
podpalenie	s|s|s|s|s|s|d|d|s|r_ć
.	s

A	l
gdzie	s|s|s|s|s
szukać	s|s|s|s|s|s
szamponu	s|s|s|s|s|s|s|d
,	s
który	s|s|s|s|s
myje	s|s|r_ć|d
?	s

I	l
już	s|s|s
lecą	s|s|s|r_ieć
,	s
wyją	s|s|r_ć|d
.	s
.	s
.	s

Było	l|s|r_ć|d
jej	r_o|r_n|d
ciężko	s|s|s|s|s|s
samej	s|s|s|d|d
we	s|d
Francji	s|s|s|s|s|s|r_a
.	s

Czego	l|d|d|d|s
oni	s|s|d
chcą	s|s|s|r_ieć
od	s|s
nas	r_m|r_y|d
,	s
Niemców	s|s|s|s|r_i|r_e|r_c
?	s

Na	l|s
tych	s|r_e|r_n|d
,	s
którzy	s|s|s|s|d|s
przetrwali	s|s|s|s|s|s|s|s|r_ć|d
pogodowe	s|s|s|s|s|s|s|r_y
anomalie	s|s|s|s|s|s|s|r_a
,	s
czekało	s|s|s|s|s|r_ć|d
wyzwanie	s|s|s|s|s|s|s|s
.	s

Pokazał	l|s|s|s|s|s|r_ć
klasę	s|s|s|s|r_a
polityka	s|s|s|s|s|s|s|d
.	s

Oj	l|s
,	s
słyszą	s|s|s|s|s|r_eć
.	s

Jest	r_b|r_y|r_ć|d
mało	s|s|s|s
ścieżek	s|s|s|s|s|r_k|r_a
rowerowych	s|s|s|s|s|s|s|s|d|d
.	s

Franciszek	s|s|s|s|s|s|s|s|s|s
Aromiński	s|s|s|s|s|s|s|s|s
zawiadomił	s|s|s|s|s|s|s|s|s|r_ć
o	s
wszystkim	s|s|s|s|s|s|s|r_o|d
prokuraturę	s|s|s|s|s|s|s|s|s|s|r_a
.	s

Ktoś	l|s|s|s
nie	s|s|s
chciał	s|s|s|s|r_e|r_ć
zjechać	s|s|s|s|s|s|s
z	s
drogi	s|s|s|s|r_a
,	s
ktoś	s|s|s|s
napierał	s|s|s|s|s|s|s|r_ć
.	s

-	s
Nie	l|s|s
możemy	s|r_ó|r_c|d|d|d
mówić	s|s|s|s|s
o	s
czarnym	s|s|s|s|s|s|d
scenariuszu	s|s|s|s|s|s|s|s|s|s|d
.	s

-	s
Te	l|s|r_n
zwłoki	s|s|s|s|s|s
są	r_by|r_ć
w	s
prosektorium	s|s|s|s|s|s|s|s|s|s|s|s
.	s

Powiedz	l|s|s|s|s|s|s|r_ieć
,	s
jeśli	s|s|s|s|s
wiesz	s|s|s|r_d|s|r_ieć
!	s

A	l
potem	s|s|s|s|s
będę	s|r_y|r_ć|d
składać	s|s|s|s|s|s|s
apelację	s|s|s|s|s|s|s|r_a
.	s

Dziewczyny	l|s|s|s|s|s|s|s|s|r_a
są	r_by|r_ć
zachwycone	s|s|s|s|s|s|s|r_i|r_ć|d
.	s

Zdecydują	l|s|s|s|s|s|r_ow|r_a|r_ć
o	s
tym	s|r_o|d
rady	s|s|s|r_a
krajowe	s|s|s|s|s|s|r_y
SLD	s|s|s
i	s
Unii	l|s|s|r_a
Pracy	l|s|s|s|r_a
oraz	s|s|s|s
Rada	l|s|s|s
Naczelna	l|s|s|s|s|s|s|r_y
PSL	s|s|s
.	s

Polecam	l|s|s|s|s|s|r_ć
wszystkim	s|s|s|s|s|r_c|r_y|d|d
.	s

Na	l|s
rozwieszonej	s|s|s|s|s|s|s|r_i|r_ć|d|d|d
chustce	s|s|s|s|s|r_k|r_a
do	s|s
nosa	s|s|s|d
ujrzał	s|s|s|s|r_e|r_ć
em	r_by|r_ć
film	s|s|s|s
.	s

-	s
Dam	l|s|r_ć
sobie	s|r_ie|s|s|s
radę	s|s|s|r_a
.	s

Zginęło	l|s|s|s|r_ą|r_ć|d
wówczas	s|s|s|s|s|s|s
czterech	s|s|s|s|s|r_y|d|d
funkcjonariuszy	s|s|s|s|s|s|s|s|s|s|s|s|s|s|d
policji	s|s|s|s|s|s|r_a
egipskiej	s|s|s|s|s|s|s|d|d
.	s

włożyła	s|s|s|s|s|r_ć|d
ś	r_być
.	s

-	s
Analfabetyzmowi	l|s|s|s|s|s|s|s|s|s|s|s|d|d|d
wydali	s|s|s|s|r_ć|d
śmy	r_b|r_y|r_ć
zdecydowaną	s|s|s|s|s|s|s|s|s|s|r_y
walkę	s|s|s|s|r_a
,	s
spodziewamy	s|s|s|s|s|s|s|s|s|r_ć|d
się	s|s|s
niebawem	s|s|s|s|s|s|s|s
zlikwidować	s|s|s|s|s|s|s|s|s|s|s
go	r_o|r_n
całkowicie	s|s|s|s|s|s|s|s|s|s
.	s

Moja	l|r_ó|s|d
bratanica	s|s|s|s|s|s|s|s|s
była	s|s|r_ć|d
na	s|s
pogrzebie	s|s|s|s|s|s|s|d|d
.	s

Kto	l|s|s
mi	r_j|r_a
to	s|s
mówił	s|s|s|s|r_ć
?	s

Zdał	l|s|s|r_ć
em	r_by|r_ć
też	s|s|s
inne	s|s|s|r_y
przedmioty	s|s|s|s|s|s|s|s|s|d
.	s

Jaka	l|s|s|r_i
to	s|s
juka	s|s|s|s
?	s

-	s
Ja	l|s
wiem	s|s|s|r_dzieć
.	s

Zawierają	l|s|s|s|s|s|s|r_ć|d
chrom	s|s|s|s|s
.	s

Kobieta	l|s|s|s|s|s|s
wchodzi	s|s|s|s|s|s|s|r_ć
na	s|s
końcu	s|s|r_nie|s|d
,	s
trzymając	s|s|s|s|s|s|r_ć|d|d
przed	s|s|s|s|s
sobą	s|r_ie|s|r_ie
torbę	s|s|s|s|r_a
,	s
w	s
prawej	s|s|s|s|r_y|d
ręce	s|s|r_k|r_a
.	s

Nic	l|s|s
nie	s|s|s
widziała	s|s|s|s|s|r_e|r_ć|d
m	r_być
,	s
nic	s|s|s
nie	s|s|s
słyszała	s|s|s|s|s|r_e|r_ć|d
m	r_być
.	s

Byli	l|s|r_ć|d
chłopi	s|s|s|s|s|d
zwiezieni	s|s|s|s|r_ź|r_ć|d|d|d
autobusami	s|s|s|s|s|s|s|d|d|d
.	s

Czy	l|s|s
my	s|s
żyjemy	s|s|r_ć|d|d|d
w	s
jakimś	s|s|s|s|d|s
kompletnie	s|s|s|s|s|s|s|s|s|s
dzikim	s|s|s|s|s|d
kraju	s|s|s|s|d
?	s

W	l
ataku	s|s|s|s|d
grali	s|s|s|r_ć|d
Michalis	s|s|s|s|s|s|s|s
Konstantinou	s|s|s|s|s|s|s|s|s|s|s|s
i	s
Nikos	s|s|s|s|s
Liberopoulos	s|s|s|s|s|s|s|s|s|s|s|s
.	s

Ciało	l|s|s|s|s
Gwieździka	s|s|s|s|s|s|s|s|s|d
znaleziono	s|s|s|s|s|r_ź|r_ć|d|d|d
przypadkiem	s|s|s|s|s|s|s|d|d|s|r_k
.	s

To	l|s
jest	r_b|r_y|r_ć|d
druga	s|s|s|s|r_i
z	s
niepodważalnych	s|s|s|s|s|s|s|s|s|s|s|s|s|d|d
prawd	s|s|s|s|s|r_a
węglowych	s|s|s|s|s|s|s|d|d
.	s

Dętka	l|s|s|s|s
była	s|s|r_ć|d
dziurawa	s|s|s|s|s|s|s|r_y
.	s

Nie	l|s|s
umiał	s|s|s|r_e|r_ć
już	s|s|s
znieść	s|s|s|s|s|s
tego	s|d|d|s
dłużej	s|s|s|r_g|r_o|d
.	s

Jak	l|s|s
ksiądz	s|s|s|s|s|s
biskup	s|s|s|s|s|s
ocenia	s|s|s|s|s|s|r_ć
bilans	s|s|s|s|s|s
tego	s|s|r_n|d
przejścia	s|s|s|s|s|s|s|s|r_e
?	s

Chociaż	l|s|s|s|s|s|s
wcale	s|s|s|s|s
sie	s|s|r_ę
do	s|s
tego	s|d|d|s
nie	s|s|s
przyznają	s|s|s|s|s|s|s|r_wa|r_ć
.	s
.	s

to	s|s
był	s|s|r_ć
mobbing	s|s|s|s|s|s|s
z	s
obu	s|s|r_a
stron	s|s|s|s|s|r_a
?	s

Zaczęła	l|s|s|s|r_ą|r_ć|d
wykradać	s|s|s|s|s|s|s|s
.	s

–	s
no	s|s
ja	s|s
jestem	r_b|r_y|r_ć|d|d|d
Magda	s|s|s|s|s
no	s|s
.	s

to	s|s
jest	r_b|r_y|r_ć|d
bardzo	s|s|s|s|s|s
ciekawy	s|s|s|s|s|s|s
składnik	s|s|s|s|s|s|s|s
.	s

Vaclavie	s|s|s|s|s|s|d|d
,	s
czy	s|s|s
pan	s|s|s
się	s|s|s
dobrze	s|s|s|s|s|s
czuje	s|s|s|r_ć|d
?	s

Maruderów	l|s|s|s|s|s|s|d|d
dziarsko	s|s|s|s|s|s|s|s
pochlastał	s|s|s|s|s|s|s|s|s|r_ć
eś	r_by|r_ć
.	s
.	s
.	s

–	s
Stare	l|s|s|s|r_y
wyrazy	s|s|s|s|s|d
żyją	s|s|r_ć|d
?	s

Tymczasem	l|s|s|s|s|s|s|s|s
słońce	s|s|s|s|s|s
podniosło	s|s|s|s|s|r_e|r_ś|r_ć|d
się	s|s|s
wyżej	s|s|r_so|r_k|r_o
.	s

Sprawdzę	l|s|s|s|s|s|s|r_ić
na	s|s
naszej	s|s|s|s|d|d
taśmie	s|s|s|s|r_a|d
.	s

W	l
wielu	s|s|s|s|r_e
miastach	s|s|s|s|s|r_o|d|d
widzieli	s|s|s|s|s|s|r_ć|d
śmy	r_b|r_y|r_ć
gigantyczne	s|s|s|s|s|s|s|s|s|s|r_y
kolejki	s|s|s|s|s|s|r_a
.	s

Zdradzisz	l|s|s|s|s|s|s|r_ć|d
nam	r_m|r_y|d
sekrety	s|s|s|s|s|s|d
urody	s|s|s|s|r_a
Cosmodziewczyny	s|s|s|s|s|s|s|s|s|s|s|s|s|s|r_a
?	s

Zapał	l|s|s|s|s
poszedł	s|r_ó|r_j|r_ś|r_ć|d|d
na	s|s
marne	s|s|s|s|r_y
.	s

Pamiętasz	l|s|s|s|s|s|s|r_ć|d
?	s

Nie	l|s|s
ma	s|r_ieć
ona	s|s|d
już	s|s|s
nic	s|s|s
do	s|s
dodania	s|s|s|s|r_ć|d|d
.	s

Myślę	l|s|s|s|r_eć
,	s
że	s|s
znajdzie	s|s|s|r_l|r_e|r_ź|r_ć|d
się	s|s|s
ktoś	s|s|s|s
lepszy	r_d|r_o|r_b|r_r|d|s
na	s|s
to	s|r_en
stanowisko	s|s|s|s|s|s|s|s|s|s
.	s

Widział	l|s|s|s|s|r_e|r_ć
em	r_by|r_ć
i	s
takie	s|s|s|s|d
świątynie	s|s|s|s|s|s|s|s|r_a
,	s
i	s
takie	s|s|s|s|d
domy	s|s|s|d
.	s

Wykorkowała	l|s|s|s|s|s|s|s|s|r_ć|d
jakieś	s|s|s|s|d|s
dwa	s|s|s
lata	r_r|r_o|r_k|d
temu	s|s|s|s
.	s

Poszła	l|r_ó|r_j|r_ś|r_ć|d
m	r_być
.	s

Z	l
nerwów	s|s|s|s|d|d
zaczęła	s|s|s|s|r_ą|r_ć|d
mi	r_j|r_a
się	s|s|s
psuć	s|s|s|s
cera	s|s|s|s
.	s

Wydało	l|s|s|s|r_ć|d
mi	r_j|r_a
to	s|s
się	s|s|s
szalenie	s|s|s|s|s|s|s|s
zabawne	s|s|s|s|s|s|r_y
.	s

Dlaczego	l|s|s|s|s|s|s|s
ja	s|s
jestem	r_b|r_y|r_ć|d|d|d
dziewczyną	s|s|s|s|s|s|s|s|s|r_a
?	s

Była	l|s|r_ć|d
by	s|s
piękna	s|s|s|s|s|r_y
.	s

Nie	l|s|s
słyszał	s|s|s|s|s|r_e|r_ć
em	r_by|r_ć
o	s
tym	s|r_e|r_n
wynalazku	s|s|s|s|s|s|s|i_e|d
.	s

Dopiero	l|s|s|s|s|s|s
wtedy	s|s|s|s|s
Dorcia	s|s|s|s|s|s
zobaczyła	s|s|s|s|s|s|s|r_ć|d
,	s
że	s|s
od	s|s
ostatniego	s|s|s|s|s|s|s|d|d|d
widzenia	s|s|s|s|s|s|s|r_e
bardzo	s|s|s|s|s|s
się	s|s|s
zmienił	s|s|s|s|s|s|r_ć
em	r_by|r_ć
.	s

Niezadowolenie	l|s|s|s|s|s|s|s|s|s|s|s|s|s
wyrazili	s|s|s|s|s|s|r_ć|d
również	s|s|s|s|s|s|s
jej	r_o|r_n|d
koledzy	s|s|s|s|r_g|r_a|d
z	s
SDP	s|s|s
.	s

Teraz	l|s|s|s|s
będzie	s|r_y|r_ć|d|d|d
musiał	s|s|s|s|r_e|r_ć
zmienić	s|s|s|s|s|s|s
miasto	s|s|s|s|s|s
albo	s|s|s|s
przyzwyczajenia	s|s|s|s|s|s|s|s|s|s|s|s|s|s|r_e
.	s

-	s
Pawlak	s|s|s|s|s|s
patrzył	s|s|s|s|s|s|r_ć
pytająco	s|s|s|s|s|s|s|s
na	s|s
Wieczorka	s|s|s|s|s|s|s|i_e|d
.	s

Trudno	l|s|s|s|s|s
było	s|s|r_ć|d
otworzyć	s|s|s|s|s|s|s|s
drzwi	s|s|s|s|s
.	s

Nie	l|s|s
rozumie	s|s|s|s|s|s|s|r_ć
pani	s|s|s|s
?	s

To	l|s
jeszcze	s|s|s|s|s|s|s
nie	s|s|s
koniec	s|s|s|s|s|s
.	s

Jak	l|s|s
próbował	s|s|s|s|s|s|s|r_ć
eś	r_by|r_ć
sobie	s|r_ie|s|s|s
z	s
nimi	i_o|d|d|d
radzić	s|s|s|s|s|s
?	s

